time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.125,0.0,0.25,0.125,0.0,0.0,0.375,0.125,0.125,0.0,0.03999999999999915
0.2,0.125,0.125,0.0,0.625,0.0,-0.125,-0.125,0.625,0.25,0.25,-0.01999999999999602,0.030000000000001137
0.3,0.25,0.0,0.0,0.875,0.0,-0.125,-0.125,0.875,0.25,0.5,0.010000000000005116,0.030000000000001137
0.4,0.25,0.0,0.125,1.125,-0.125,-0.25,0.0,1.25,0.25,0.625,0.010000000000005116,0.030000000000001137
0.5,0.25,0.125,0.0,1.375,-0.125,-0.25,0.125,1.5,0.375,0.75,0.010000000000005116,0.020000000000003126
0.6,0.375,0.125,0.125,1.625,-0.125,-0.375,0.0,1.75,0.5,0.875,-0.01999999999999602,0.0
0.7,0.375,0.25,0.0,1.875,-0.25,-0.375,-0.125,2.0,0.5,1.0,0.0,-0.03999999999999915
0.8,0.5,0.25,0.125,2.125,-0.25,-0.5,0.0,2.25,0.625,1.125,0.0,0.0
0.9,0.5,0.25,0.0,2.375,-0.25,-0.625,-0.125,2.375,0.625,1.25,0.030000000000001137,0.05000000000000426
1.0,0.625,0.25,0.0,2.5,-0.375,-0.75,0.0,2.625,0.625,1.25,0.0,-0.01999999999999602
1.1,0.625,0.375,0.0,2.75,-0.5,-0.75,0.0,2.875,0.75,1.375,0.010000000000005116,-0.00999999999999801
1.2,0.625,0.375,0.0,3.0,-0.5,-0.875,-0.125,3.0,0.75,1.5,0.0,-0.03999999999999915
1.3,0.75,0.25,0.0,3.125,-0.5,-0.875,-0.25,3.25,0.875,1.5,0.010000000000005116,-0.030000000000001137
1.4,0.875,0.25,0.125,3.25,-0.625,-1.0,0.0,3.375,0.875,1.625,0.010000000000005116,-0.030000000000001137
1.5,0.875,0.375,0.0,3.5,-0.625,-1.0,0.0,3.625,0.875,1.75,0.010000000000005116,-0.03999999999999915
