time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
2.1,-0.25,-0.125,0.0,-0.375,-0.25,0.0,0.375,-0.375,-0.25,-0.375,0.0,-0.0899999999999963
2.2,-0.25,0.0,0.0,-0.375,-0.25,0.0,0.125,-0.375,-0.125,-0.5,0.020000000000003126,-0.05999999999999517
2.3,-0.25,0.0,0.125,-0.375,-0.25,0.0,0.125,-0.375,-0.25,-0.5,0.05000000000000426,-0.05999999999999517
2.4,-0.25,0.0,0.0,-0.375,-0.375,-0.125,0.125,-0.5,-0.125,-0.5,0.020000000000003126,-0.11999999999999744
2.5,-0.25,-0.125,0.0,-0.375,-0.375,-0.125,0.125,-0.5,-0.25,-0.5,0.020000000000003126,-0.05999999999999517
2.6,-0.375,0.0,0.125,-0.375,-0.25,-0.125,0.0,-0.5,-0.25,-0.5,0.020000000000003126,-0.11999999999999744
2.7,-0.375,-0.125,0.0,-0.375,-0.375,-0.125,0.125,-0.5,-0.25,-0.625,0.030000000000001137,-0.04999999999999716
2.8,-0.375,0.0,0.0,-0.5,-0.375,-0.125,0.0,-0.5,-0.25,-0.625,0.020000000000003126,-0.05999999999999517
2.9,-0.375,-0.125,0.125,-0.5,-0.375,-0.125,0.0,-0.625,-0.25,-0.625,0.020000000000003126,-0.0899999999999963
3.0,-0.375,-0.125,0.125,-0.5,-0.375,-0.125,0.0,-0.5,-0.25,-0.625,0.020000000000003126,-0.07000000000000028
3.1,-0.375,-0.125,0.0,-0.5,-0.5,-0.125,0.125,-0.5,-0.375,-0.625,0.030000000000001137,-0.05999999999999517
3.2,-0.375,-0.125,0.125,-0.5,-0.375,-0.25,0.125,-0.625,-0.375,-0.625,0.0,-0.09999999999999432
3.3,-0.375,-0.125,0.125,-0.5,-0.375,-0.25,0.0,-0.625,-0.375,-0.625,0.030000000000001137,-0.05999999999999517
3.4,-0.375,-0.125,0.0,-0.5,-0.5,-0.125,0.0,-0.625,-0.375,-0.625,0.05000000000000426,-0.0899999999999963
3.5,-0.375,-0.125,0.125,-0.625,-0.375,-0.25,0.25,-0.75,-0.5,-0.75,0.05000000000000426,-0.11999999999999744
3.6,-0.375,-0.125,0.125,-0.625,-0.375,-0.25,0.0,-0.625,-0.5,-0.75,0.030000000000001137,-0.09999999999999432
3.7,-0.375,-0.125,0.0,-0.5,-0.375,-0.25,-0.125,-0.625,-0.5,-0.875,0.07000000000000028,0.010000000000005116
3.8,-0.375,-0.125,0.0,-0.625,-0.5,-0.375,0.0,-0.625,-0.5,-0.875,0.030000000000001137,-0.0899999999999963
3.9,-0.375,-0.125,0.125,-0.625,-0.5,-0.375,0.0,-0.75,-0.625,-0.75,0.030000000000001137,-0.14999999999999858
4.0,-0.375,-0.125,0.125,-0.625,-0.5,-0.375,0.0,-0.75,-0.5,-0.875,0.030000000000001137,-0.0899999999999963
4.1,-0.375,-0.125,0.125,-0.625,-0.5,-0.375,0.25,-0.75,-0.625,-0.875,0.030000000000001137,-0.12999999999999545
4.2,-0.375,-0.125,0.125,-0.625,-0.5,-0.375,-0.125,-0.75,-0.5,-0.875,0.05000000000000426,-0.0899999999999963
4.3,-0.375,-0.125,0.125,-0.75,-0.5,-0.375,0.0,-0.75,-0.5,-0.875,0.030000000000001137,-0.09999999999999432
4.4,-0.5,-0.125,0.125,-0.75,-0.5,-0.375,0.0,-0.875,-0.5,-0.875,0.030000000000001137,-0.12999999999999545
4.5,-0.5,-0.125,0.125,-0.75,-0.625,-0.375,0.0,-0.75,-0.5,-0.875,0.05000000000000426,-0.14999999999999858
4.6,-0.5,-0.125,0.125,-0.75,-0.5,-0.375,-0.125,-0.875,-0.5,-0.875,0.060000000000002274,-0.05999999999999517
4.7,-0.5,-0.125,0.125,-0.75,-0.5,-0.375,0.125,-0.875,-0.625,-0.875,0.030000000000001137,-0.12999999999999545
4.8,-0.375,-0.125,0.125,-0.75,-0.5,-0.375,0.125,-0.875,-0.625,-1.0,0.020000000000003126,-0.14999999999999858
4.9,-0.375,-0.125,0.125,-0.75,-0.625,-0.375,0.125,-0.875,-0.625,-1.0,0.060000000000002274,-0.12999999999999545
5.0,-0.5,-0.125,0.125,-0.875,-0.625,-0.5,-0.125,-0.875,-0.625,-1.0,0.05000000000000426,-0.0899999999999963
5.1,-0.375,-0.125,0.125,-0.75,-0.625,-0.5,0.125,-0.875,-0.75,-1.0,0.020000000000003126,-0.12999999999999545
5.2,-0.5,-0.125,0.125,-0.75,-0.625,-0.5,-0.125,-1.0,-0.75,-1.0,0.030000000000001137,-0.11999999999999744
5.3,-0.5,-0.125,0.125,-0.75,-0.625,-0.5,-0.125,-0.875,-0.75,-1.0,0.05000000000000426,-0.0899999999999963
5.4,-0.375,-0.125,0.125,-0.75,-0.625,-0.5,0.0,-1.0,-0.75,-1.125,0.030000000000001137,-0.1599999999999966
5.5,-0.5,-0.125,0.125,-0.75,-0.625,-0.5,0.0,-0.875,-0.75,-1.125,0.05000000000000426,-0.09999999999999432
5.6,-0.5,-0.125,0.125,-0.75,-0.625,-0.625,0.125,-0.875,-0.875,-1.125,0.05000000000000426,-0.11999999999999744
5.7,-0.5,-0.125,0.125,-0.875,-0.625,-0.625,0.0,-1.0,-0.875,-1.125,0.05000000000000426,-0.11999999999999744
5.8,-0.5,-0.125,0.125,-0.875,-0.625,-0.625,0.0,-1.0,-0.875,-1.125,0.060000000000002274,-0.1599999999999966
5.9,-0.5,-0.125,0.125,-0.875,-0.75,-0.75,0.125,-1.0,-0.875,-1.125,0.05000000000000426,-0.09999999999999432
6.0,-0.5,-0.125,0.125,-0.875,-0.625,-0.625,0.125,-1.0,-0.875,-1.25,0.030000000000001137,-0.09999999999999432
6.1,-0.5,-0.125,0.125,-0.875,-0.75,-0.625,0.125,-1.0,-0.875,-1.125,0.05000000000000426,-0.1599999999999966
6.2,-0.5,0.0,0.125,-0.875,-0.625,-0.75,0.125,-1.0,-0.875,-1.25,0.05000000000000426,-0.11999999999999744
6.3,-0.5,-0.125,0.125,-0.875,-0.625,-0.75,0.25,-1.0,-1.0,-1.25,0.060000000000002274,-0.0899999999999963
6.4,-0.625,-0.125,0.125,-0.875,-0.75,-0.75,0.125,-1.0,-1.0,-1.25,0.030000000000001137,-0.09999999999999432
6.5,-0.5,-0.125,0.125,-0.875,-0.625,-0.75,0.125,-1.125,-1.0,-1.25,0.030000000000001137,-0.1599999999999966
6.6,-0.625,-0.125,0.125,-0.875,-0.75,-0.75,0.0,-1.125,-1.0,-1.25,0.030000000000001137,-0.0899999999999963
6.7,-0.5,0.0,0.125,-0.875,-0.75,-0.75,0.125,-1.125,-1.0,-1.375,0.060000000000002274,-0.10999999999999943
6.8,-0.625,-0.125,0.125,-0.875,-0.625,-0.75,-0.125,-1.125,-1.125,-1.375,0.05000000000000426,-0.12999999999999545
6.9,-0.5,0.0,0.125,-0.875,-0.75,-0.75,0.0,-1.0,-1.125,-1.375,0.030000000000001137,-0.12999999999999545
7.0,-0.5,0.0,0.125,-0.875,-0.75,-0.75,0.0,-1.125,-1.125,-1.375,0.060000000000002274,-0.09999999999999432
7.1,-0.625,0.0,0.125,-0.875,-0.75,-0.75,-0.125,-1.125,-1.0,-1.375,0.020000000000003126,-0.14999999999999858
7.2,-0.5,0.0,0.25,-0.875,-0.75,-0.75,0.0,-1.125,-1.125,-1.5,0.060000000000002274,-0.14999999999999858
7.3,-0.625,0.0,0.25,-0.875,-0.75,-0.75,0.0,-1.125,-1.125,-1.5,0.030000000000001137,-0.12999999999999545
7.4,-0.5,0.0,0.25,-0.875,-0.625,-0.75,-0.125,-1.125,-1.125,-1.5,0.030000000000001137,-0.20999999999999375
7.5,-0.5,-0.125,0.125,-0.875,-0.75,-0.75,-0.25,-1.125,-1.125,-1.375,0.05000000000000426,-0.09999999999999432
7.6,-0.5,-0.125,0.25,-0.875,-0.75,-0.75,-0.125,-1.125,-1.125,-1.5,0.05000000000000426,-0.11999999999999744
7.7,-0.5,0.0,0.125,-0.875,-0.625,-0.75,-0.25,-1.125,-1.25,-1.5,0.05000000000000426,-0.09999999999999432
7.8,-0.625,0.0,0.25,-0.875,-0.625,-0.75,-0.125,-1.0,-1.125,-1.5,0.030000000000001137,-0.1599999999999966
7.9,-0.5,0.0,0.25,-0.875,-0.625,-0.75,0.0,-1.125,-1.25,-1.5,0.05000000000000426,-0.14999999999999858
8.0,-0.625,0.0,0.25,-0.875,-0.625,-0.75,0.0,-1.125,-1.25,-1.5,0.05000000000000426,-0.12999999999999545
8.1,-0.625,-0.125,0.25,-0.875,-0.75,-0.75,0.0,-1.125,-1.125,-1.5,0.05000000000000426,-0.17999999999999972
8.2,-0.5,0.0,0.25,-0.875,-0.625,-0.75,-0.25,-1.125,-1.25,-1.5,0.030000000000001137,-0.12999999999999545
8.3,-0.5,0.0,0.25,-0.875,-0.75,-0.75,0.0,-1.125,-1.25,-1.5,0.030000000000001137,-0.11999999999999744
8.4,-0.625,0.0,0.25,-0.875,-0.625,-0.625,-0.125,-1.125,-1.25,-1.625,0.05000000000000426,-0.17999999999999972
8.5,-0.5,0.0,0.25,-0.875,-0.75,-0.625,0.0,-1.125,-1.25,-1.625,0.060000000000002274,-0.1599999999999966
8.6,-0.625,0.0,0.25,-0.875,-0.625,-0.625,0.0,-1.125,-1.375,-1.625,0.030000000000001137,-0.18999999999999773
8.7,-0.625,0.0,0.25,-0.875,-0.625,-0.625,-0.125,-1.125,-1.375,-1.625,0.060000000000002274,-0.18999999999999773
8.8,-0.5,0.0,0.125,-0.875,-0.625,-0.625,-0.125,-1.125,-1.375,-1.625,0.030000000000001137,-0.1599999999999966
8.9,-0.625,0.0,0.25,-0.875,-0.625,-0.625,-0.125,-1.125,-1.375,-1.625,0.060000000000002274,-0.21999999999999886
9.0,-0.625,0.0,0.25,-0.875,-0.625,-0.5,-0.125,-1.125,-1.375,-1.625,0.060000000000002274,-0.17999999999999972
9.1,-0.625,0.0,0.25,-0.875,-0.625,-0.5,-0.125,-1.125,-1.375,-1.75,0.05000000000000426,-0.14999999999999858
9.2,-0.625,0.0,0.25,-0.875,-0.75,-0.5,0.0,-1.25,-1.375,-1.75,0.05000000000000426,-0.1599999999999966
9.3,-0.625,0.0,0.25,-0.875,-0.625,-0.5,0.0,-1.25,-1.5,-1.75,0.030000000000001137,-0.14999999999999858
9.4,-0.625,0.0,0.25,-0.875,-0.625,-0.5,0.0,-1.25,-1.375,-1.75,0.060000000000002274,-0.19999999999999574
9.5,-0.625,0.0,0.25,-1.0,-0.625,-0.375,0.0,-1.25,-1.375,-1.75,0.060000000000002274,-0.19999999999999574
9.6,-0.625,0.0,0.25,-1.0,-0.5,-0.375,0.125,-1.25,-1.5,-1.875,0.030000000000001137,-0.1599999999999966
9.7,-0.625,0.0,0.125,-1.0,-0.5,-0.375,0.0,-1.25,-1.5,-1.75,0.05000000000000426,-0.1599999999999966
9.8,-0.625,0.0,0.25,-1.0,-0.5,-0.375,0.125,-1.25,-1.5,-1.875,0.030000000000001137,-0.14999999999999858
9.9,-0.625,0.0,0.125,-1.0,-0.625,-0.375,0.125,-1.25,-1.5,-1.875,0.030000000000001137,-0.14999999999999858
10.0,-0.625,0.0,0.0,-1.125,-0.5,-0.375,0.0,-1.25,-1.25,-2.0,0.060000000000002274,-0.17999999999999972
10.1,-0.75,-0.125,0.0,-1.125,-0.625,-0.5,0.0,-1.25,-1.25,-1.875,0.05000000000000426,-0.12999999999999545
10.2,-0.75,-0.125,0.0,-1.25,-0.5,-0.5,0.125,-1.375,-1.25,-1.875,0.020000000000003126,-0.14999999999999858
10.3,-0.75,-0.125,-0.125,-1.25,-0.625,-0.5,0.25,-1.375,-1.125,-1.875,0.030000000000001137,-0.17999999999999972
10.4,-0.75,-0.125,-0.125,-1.375,-0.625,-0.625,0.0,-1.375,-1.25,-1.75,0.060000000000002274,-0.17999999999999972
10.5,-0.75,-0.125,-0.125,-1.375,-0.625,-0.5,0.0,-1.375,-1.125,-1.625,0.05000000000000426,-0.1599999999999966
10.6,-0.75,-0.125,-0.25,-1.375,-0.625,-0.625,0.0,-1.5,-1.0,-1.25,0.05000000000000426,-0.1599999999999966
10.7,-0.75,-0.125,-0.25,-1.375,-0.5,-0.5,0.0,-1.5,-1.0,-0.5,0.05000000000000426,-0.1599999999999966
10.8,-0.625,-0.125,-0.25,-1.375,-0.375,-0.375,0.125,-1.5,-0.875,1.0,0.030000000000001137,-0.09999999999999432
10.9,-0.625,-0.125,-0.375,-1.125,0.0,-0.25,0.125,-1.375,-0.75,3.75,0.030000000000001137,-0.18999999999999773
11.0,-0.25,-0.25,-0.375,-0.625,0.375,0.125,0.0,-1.125,-0.25,7.75,0.060000000000002274,-0.14999999999999858
11.1,0.125,-0.25,-0.375,0.25,1.375,0.875,0.25,-0.625,0.625,13.5,0.05000000000000426,-0.1599999999999966
11.2,0.75,-0.125,-0.375,1.75,2.875,2.0,0.125,0.25,2.25,21.25,0.05000000000000426,-0.14999999999999858
11.3,1.625,-0.125,-0.375,4.125,5.25,3.75,0.25,2.125,4.875,31.625,0.05000000000000426,-0.20999999999999375
11.4,2.875,-0.125,-0.375,7.75,8.625,6.125,0.25,5.25,8.875,45.25,0.060000000000002274,-0.12999999999999545
11.5,4.375,0.0,-0.375,13.0,13.125,9.25,0.625,10.0,14.75,63.25,0.05000000000000426,-0.14999999999999858
11.6,6.375,0.0,-0.375,19.875,18.375,13.125,0.625,17.0,22.5,85.75,0.05000000000000426,-0.14999999999999858
11.7,8.625,0.0,-0.375,29.0,24.25,17.75,0.875,26.875,32.875,113.5,0.05000000000000426,-0.11999999999999744
11.8,11.375,0.125,-0.375,40.25,30.75,23.0,1.125,39.375,45.875,146.25,0.05000000000000426,-0.0899999999999963
11.9,14.5,0.25,-0.5,54.125,37.875,29.0,1.125,55.375,62.125,185.25,0.030000000000001137,-0.12999999999999545
12.0,18.0,0.5,-0.375,70.75,45.75,35.375,1.5,75.0,81.5,230.375,0.060000000000002274,-0.14999999999999858
12.1,22.0,0.625,-0.375,89.625,54.25,42.375,1.5,98.125,103.375,281.5,0.030000000000001137,-0.12999999999999545
12.2,26.5,0.875,-0.5,111.5,63.625,49.75,1.875,125.625,128.0,339.75,0.030000000000001137,-0.09999999999999432
12.3,31.25,1.0,-0.5,136.0,73.375,57.5,2.0,157.5,154.75,403.875,0.060000000000002274,-0.07000000000000028
12.4,36.5,1.375,-0.375,162.875,83.75,65.625,2.25,193.5,183.0,471.875,0.030000000000001137,-0.09999999999999432
12.5,42.25,1.625,-0.375,192.625,94.625,74.25,2.5,234.25,213.125,544.625,0.05000000000000426,-0.03999999999999915
12.6,48.25,1.875,-0.375,225.125,105.875,83.125,2.75,279.625,245.125,620.125,0.060000000000002274,-0.01999999999999602
12.7,54.625,2.25,-0.375,259.625,117.5,92.125,3.0,328.75,277.875,697.125,0.05000000000000426,-0.02999999999999403
12.8,61.5,2.625,-0.375,297.0,129.625,101.625,3.125,382.75,312.25,775.5,0.05000000000000426,-0.00999999999999801
12.9,68.75,3.0,-0.375,336.5,142.25,111.25,3.5,440.75,347.625,853.375,0.060000000000002274,0.020000000000003126
13.0,76.375,3.375,-0.375,377.5,155.0,121.0,3.75,502.0,383.25,929.25,0.05000000000000426,0.030000000000001137
13.1,84.25,3.875,-0.375,420.625,168.375,130.875,3.875,567.375,419.625,1003.125,0.05000000000000426,0.060000000000002274
13.2,92.625,4.25,-0.375,465.0,181.875,141.0,4.125,635.875,456.25,1073.625,0.060000000000002274,0.030000000000001137
13.3,101.25,4.75,-0.375,509.875,195.5,150.875,4.375,706.5,492.375,1140.125,0.05000000000000426,0.09000000000000341
13.4,110.25,5.25,-0.375,555.875,209.625,161.125,4.625,780.25,528.75,1203.625,0.030000000000001137,0.09000000000000341
13.5,119.5,5.75,-0.375,602.125,224.0,171.375,5.0,855.75,564.75,1263.875,0.05000000000000426,0.12000000000000455
13.6,129.125,6.25,-0.375,647.875,238.375,181.5,5.0,931.625,600.125,1320.25,0.07000000000000028,0.14000000000000057
13.7,139.0,6.75,-0.375,693.75,253.0,191.625,5.125,1008.875,635.375,1373.375,0.05000000000000426,0.12000000000000455
13.8,149.25,7.25,-0.25,738.875,267.75,201.875,5.25,1086.125,670.0,1422.75,0.060000000000002274,0.15000000000000568
13.9,159.625,7.75,-0.25,782.625,282.375,211.875,5.5,1161.875,703.75,1468.25,0.07000000000000028,0.21000000000000085
14.0,170.375,8.375,-0.25,825.75,297.125,221.875,5.75,1237.375,737.125,1511.125,0.05000000000000426,0.21000000000000085
14.1,181.375,9.0,-0.25,867.375,311.875,231.875,6.125,1311.125,769.75,1550.625,0.07000000000000028,0.21000000000000085
14.2,192.5,9.625,-0.25,907.125,326.375,241.5,6.125,1381.875,801.125,1586.875,0.05000000000000426,0.240000000000002
14.3,203.875,10.25,-0.25,945.5,341.125,251.25,6.25,1450.75,832.0,1621.0,0.05000000000000426,0.2700000000000031
14.4,215.625,10.75,-0.125,982.5,355.625,260.625,6.5,1516.75,862.0,1652.625,0.05000000000000426,0.30000000000000426
14.5,227.25,11.375,-0.125,1017.125,369.875,269.875,6.75,1578.875,890.75,1682.0,0.05000000000000426,0.3400000000000034
14.6,239.25,12.0,-0.125,1050.5,384.0,279.0,6.75,1638.375,918.875,1710.0,0.060000000000002274,0.3400000000000034
14.7,251.5,12.625,-0.125,1082.125,398.0,287.875,6.875,1694.625,946.25,1736.125,0.020000000000003126,0.4000000000000057
14.8,263.75,13.375,-0.125,1111.75,411.625,296.5,7.0,1746.875,972.375,1760.375,0.05000000000000426,0.37000000000000455
14.9,276.125,14.0,-0.125,1140.0,425.25,304.875,7.5,1796.25,997.75,1783.375,0.060000000000002274,0.39000000000000057
15.0,288.75,14.625,-0.125,1166.375,438.5,313.125,7.625,1842.125,1022.125,1804.875,0.05000000000000426,0.37000000000000455
15.1,301.5,15.375,0.0,1191.375,451.5,321.125,7.5,1885.125,1045.875,1825.125,0.05000000000000426,0.4299999999999997
15.2,314.25,16.125,0.0,1215.0,464.375,328.875,7.625,1925.375,1068.625,1844.25,0.030000000000001137,0.46000000000000085
15.3,327.125,16.875,0.0,1236.875,476.75,336.375,7.875,1962.25,1090.375,1862.0,0.060000000000002274,0.46000000000000085
15.4,340.125,17.5,0.0,1257.625,489.0,343.625,8.25,1997.0,1111.5,1878.75,0.05000000000000426,0.46000000000000085
15.5,353.125,18.25,0.125,1277.25,501.0,350.625,8.125,2029.125,1131.75,1894.625,0.060000000000002274,0.5500000000000043
15.6,366.125,19.0,0.125,1295.375,512.5,357.25,8.375,2058.625,1151.125,1909.375,0.05000000000000426,0.5400000000000063
15.7,379.375,19.75,0.125,1312.5,523.75,363.875,8.625,2086.375,1169.875,1923.375,0.060000000000002274,0.5200000000000031
15.8,392.625,20.5,0.125,1328.625,534.75,370.125,8.75,2112.125,1187.875,1936.625,0.060000000000002274,0.5400000000000063
15.9,405.75,21.25,0.125,1343.5,545.125,376.125,8.75,2135.75,1205.0,1949.0,0.030000000000001137,0.5300000000000011
16.0,419.0,22.0,0.25,1357.75,555.375,381.875,8.875,2158.0,1221.5,1960.75,0.030000000000001137,0.5800000000000054
16.1,432.25,22.875,0.25,1371.125,565.25,387.5,9.125,2178.625,1237.375,1971.625,0.05000000000000426,0.6300000000000026
16.2,445.375,23.625,0.375,1383.375,574.75,392.75,9.375,2197.5,1252.5,1982.0,0.05000000000000426,0.6300000000000026
16.3,458.75,24.375,0.25,1395.125,583.875,397.875,9.5,2215.375,1267.125,1991.875,0.05000000000000426,0.6500000000000057
16.4,471.875,25.25,0.375,1406.0,592.75,402.75,9.375,2232.0,1281.125,2001.25,0.05000000000000426,0.6700000000000017
16.5,485.0,26.125,0.375,1416.25,601.125,407.375,9.5,2247.25,1294.375,2010.125,0.05000000000000426,0.5900000000000034
16.6,498.125,26.875,0.375,1426.0,609.25,411.875,9.625,2261.625,1307.375,2018.375,0.05000000000000426,0.6400000000000006
16.7,511.25,27.625,0.375,1435.125,617.0,416.125,9.75,2275.125,1319.625,2026.125,0.05000000000000426,0.7000000000000028
16.8,524.125,28.375,0.375,1443.5,624.25,420.0,10.0,2287.5,1331.5,2033.5,0.060000000000002274,0.7100000000000009
16.9,537.125,29.25,0.5,1451.5,631.375,423.875,10.125,2299.25,1342.875,2040.375,0.05000000000000426,0.740000000000002
17.0,549.875,30.125,0.5,1459.125,638.125,427.5,10.125,2310.125,1353.75,2046.875,0.05000000000000426,0.730000000000004
17.1,562.625,30.875,0.5,1466.125,644.375,430.875,10.125,2320.25,1364.125,2053.0,0.05000000000000426,0.730000000000004
17.2,575.375,31.75,0.5,1472.75,650.5,434.125,10.5,2329.875,1374.125,2058.875,0.060000000000002274,0.75
17.3,587.875,32.625,0.625,1479.0,656.375,437.25,10.625,2338.75,1383.75,2064.5,0.030000000000001137,0.7700000000000031
17.4,600.25,33.5,0.625,1484.875,661.75,440.125,10.625,2347.125,1392.875,2069.625,0.05000000000000426,0.7900000000000063
17.5,612.75,34.25,0.625,1490.375,667.0,442.875,10.625,2355.0,1401.75,2074.625,0.060000000000002274,0.7700000000000031
17.6,625.0,35.125,0.75,1495.625,671.875,445.375,10.75,2362.25,1410.125,2079.375,0.05000000000000426,0.7700000000000031
17.7,637.0,35.875,0.625,1500.375,676.5,447.75,11.0,2369.125,1418.25,2083.75,0.05000000000000426,0.740000000000002
17.8,649.125,36.875,0.75,1505.0,680.875,450.125,11.0,2375.625,1426.0,2087.875,0.060000000000002274,0.8000000000000043
17.9,660.875,37.625,0.75,1509.375,684.875,452.125,11.125,2381.625,1433.5,2091.875,0.05000000000000426,0.8500000000000014
18.0,672.625,38.5,0.875,1513.25,688.75,454.125,11.25,2387.25,1440.625,2095.5,0.05000000000000426,0.8200000000000003
18.1,684.25,39.375,0.75,1517.0,692.375,455.875,11.5,2392.625,1447.375,2099.0,0.05000000000000426,0.8300000000000054
18.2,695.625,40.25,0.875,1520.5,695.625,457.625,11.25,2397.5,1453.875,2102.25,0.030000000000001137,0.8100000000000023
18.3,707.0,41.0,0.875,1523.75,698.75,459.25,11.5,2402.125,1460.25,2105.375,0.05000000000000426,0.8600000000000065
18.4,718.25,42.0,1.0,1526.875,701.625,460.625,11.5,2406.5,1466.25,2108.25,0.05000000000000426,0.9100000000000037
18.5,729.25,42.75,1.0,1529.625,704.25,461.875,11.75,2410.5,1471.875,2111.0,0.05000000000000426,0.8500000000000014
18.6,740.125,43.625,1.0,1532.375,706.625,463.125,11.625,2414.375,1477.5,2113.625,0.05000000000000426,0.8600000000000065
18.7,750.875,44.5,1.0,1534.875,708.875,464.25,11.875,2418.0,1482.875,2116.125,0.060000000000002274,0.8900000000000006
18.8,761.375,45.375,1.125,1537.0,710.75,465.25,11.75,2421.25,1487.875,2118.375,0.060000000000002274,0.9100000000000037
18.9,771.875,46.125,1.125,1539.125,712.625,466.125,11.875,2424.5,1492.75,2120.625,0.030000000000001137,0.9299999999999997
19.0,782.125,47.0,1.125,1541.125,714.25,466.875,12.0,2427.375,1497.375,2122.625,0.05000000000000426,0.8900000000000006
19.1,792.125,47.875,1.25,1542.75,715.75,467.5,12.125,2430.0,1501.875,2124.375,0.05000000000000426,0.9100000000000037
19.2,802.0,48.75,1.25,1544.25,716.875,468.125,12.25,2432.625,1506.25,2126.125,0.060000000000002274,0.9100000000000037
19.3,811.875,49.625,1.25,1545.75,718.0,468.625,12.375,2435.0,1510.25,2127.75,0.060000000000002274,0.9100000000000037
19.4,821.375,50.5,1.25,1547.0,718.875,469.0,12.5,2437.125,1514.25,2129.25,0.07000000000000028,0.9400000000000048
19.5,830.875,51.25,1.25,1548.25,719.625,469.375,12.375,2439.25,1518.0,2130.625,0.05000000000000426,0.9500000000000028
19.6,840.125,52.25,1.375,1549.25,720.25,469.5,12.625,2441.125,1521.625,2131.875,0.05000000000000426,0.9100000000000037
19.7,849.25,53.0,1.375,1550.125,720.625,469.75,12.625,2442.875,1525.0,2133.0,0.05000000000000426,0.9500000000000028
19.8,858.25,53.875,1.375,1551.0,720.875,469.875,12.625,2444.5,1528.375,2133.875,0.05000000000000426,0.9600000000000009
19.9,867.0,54.75,1.5,1551.625,721.0,469.75,12.75,2446.0,1531.5,2134.875,0.030000000000001137,0.9500000000000028
20.0,875.625,55.5,1.5,1552.25,720.875,469.75,12.625,2447.375,1534.375,2135.75,0.05000000000000426,0.9500000000000028
20.1,884.125,56.375,1.5,1552.625,720.875,469.625,12.625,2448.625,1537.25,2136.5,0.05000000000000426,0.9299999999999997
20.2,892.375,57.125,1.5,1553.0,720.5,469.375,12.875,2449.75,1540.0,2137.0,0.05000000000000426,0.9500000000000028
20.3,900.5,57.875,1.625,1553.25,720.125,469.25,12.875,2450.875,1542.625,2137.625,0.060000000000002274,0.9200000000000017
20.4,908.375,58.75,1.625,1553.375,719.5,468.875,12.875,2451.75,1545.125,2138.125,0.060000000000002274,0.9400000000000048
